Digi-Key Part Number,Manufacturer Part Number,Quantity,notes
311-1.50KFRCT-ND,RC1206FR-071K5L,1,register
311-10.0KFRCT-ND,RC1206FR-0710KL,4,register
311-100FRCT-ND,RC1206FR-07100RL,1,register
311-100KFRCT-ND,RC1206FR-07100KL,1,register
311-1161-1-ND,CC1206JRNPO9BN101,1,cap
311-1179-1-ND,CC1206KRX7R9BB104,4,cap
311-1925-1-ND,CC1206JKX7R8BB105,2,cap
311-1961-1-ND,CC1206KKX7R8BB475,1,cap
INMP401ACEZ-R7CT-ND,INMP401ACEZ-R7,1,digital microphone
OPA344NACT-ND,OPA344NA/250,1,op amp(for mic)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
S,,,